Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,birth_date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1976,Peace,The Nobel Peace Prize 1976,,01-Feb,535,Individual,Betty Williams,22-05-43,Belfast,Northern Ireland,Female,,,,,,
1976,Peace,The Nobel Peace Prize 1976,,01-Feb,536,Individual,Mairead Corrigan,27-01-44,Belfast,Northern Ireland,Female,,,,,,
1976,Physics,The Nobel Prize in Physics 1976,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",01-Feb,105,Individual,Burton Richter,22-03-31,"Brooklyn, NY",United States of America,Male,Stanford Linear Accelerator Center,"Stanford, CA",United States of America,,,
1976,Physics,The Nobel Prize in Physics 1976,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",01-Feb,106,Individual,Samuel Chao Chung Ting,27-01-36,"Ann Arbor, MI",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,
1977,Chemistry,The Nobel Prize in Chemistry 1977,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",01-Jan,250,Individual,Ilya Prigogine,25-01-17,Moscow,Russia,Male,Université Libre de Bruxelles,Brussels,Belgium,28-05-03,Brussels,Belgium
1977,Chemistry,The Nobel Prize in Chemistry 1977,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",01-Jan,250,Individual,Ilya Prigogine,25-01-17,Moscow,Russia,Male,University of Texas,"Austin, TX",United States of America,28-05-03,Brussels,Belgium
1977,Economics,The Sveriges Riksbank Prize in Economic Sciences 1977,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",01-Feb,689,Individual,Bertil Ohlin,1899-04-23,Klippan,Sweden,Male,Stockholm School of Economics,Stockholm,Sweden,03-08-79,Vålådalen,Sweden
1977,Economics,The Sveriges Riksbank Prize in Economic Sciences 1977,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",01-Feb,690,Individual,James E. Meade,23-06-07,Swanage,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,22-12-95,Cambridge,United Kingdom
1977,Literature,The Nobel Prize in Literature 1977,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",01-Jan,653,Individual,Vicente Aleixandre,1898-04-26,Sevilla,Spain,Male,,,,14-12-84,Madrid,Spain
1977,Medicine,The Nobel Prize in Physiology or Medicine 1977,"""for their discoveries concerning the peptide hormone production of the brain""",01-Apr,411,Individual,Roger Guillemin,11-01-24,Dijon,France,Male,The Salk Institute,"San Diego, CA",United States of America,,,
1977,Medicine,The Nobel Prize in Physiology or Medicine 1977,"""for their discoveries concerning the peptide hormone production of the brain""",01-Apr,412,Individual,Andrew V. Schally,30-11-26,Wilno (Vilnius),Poland (Lithuania),Male,Veterans Administration Hospital,"New Orleans, LA",United States of America,,,
1977,Medicine,The Nobel Prize in Physiology or Medicine 1977,"""for the development of radioimmunoassays of peptide hormones""",01-Feb,413,Individual,Rosalyn Yalow,19-07-21,"New York, NY",United States of America,Female,Veterans Administration Hospital,"Bronx, NY",United States of America,30-05-11,"New York, NY",United States of America
1977,Peace,The Nobel Peace Prize 1977,,01-Jan,537,Organization,Amnesty International,,,,,,,,,,
1977,Physics,The Nobel Prize in Physics 1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",01-Mar,107,Individual,Philip Warren Anderson,13-12-23,"Indianapolis, IN",United States of America,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,,,
1977,Physics,The Nobel Prize in Physics 1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",01-Mar,108,Individual,Sir Nevill Francis Mott,30-09-05,Leeds,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,08-08-96,Milton Keynes,United Kingdom
1977,Physics,The Nobel Prize in Physics 1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",01-Mar,109,Individual,John Hasbrouck van Vleck,1899-03-13,"Middletown, CT",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,27-10-80,"Cambridge, MA",United States of America
1978,Chemistry,The Nobel Prize in Chemistry 1978,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",01-Jan,251,Individual,Peter D. Mitchell,29-09-20,Mitcham,United Kingdom,Male,Glynn Research Laboratories,Bodmin,United Kingdom,10-04-92,Bodmin,United Kingdom
1978,Economics,The Sveriges Riksbank Prize in Economic Sciences 1978,"""for his pioneering research into the decision-making process within economic organizations""",01-Jan,691,Individual,Herbert A. Simon,15-06-16,"Milwaukee, WI",United States of America,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America,09-02-01,"Pittsburgh, PA",United States of America
1978,Literature,The Nobel Prize in Literature 1978,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""",01-Jan,654,Individual,Isaac Bashevis Singer,14-07-04,Leoncin,Russian Empire (Poland),Male,,,,24-07-91,"Surfside, FL",United States of America
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",01-Mar,414,Individual,Werner Arber,03-06-29,Gränichen,Switzerland,Male,Biozentrum der Universität,Basel,Switzerland,,,
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",01-Mar,415,Individual,Daniel Nathans,30-10-28,"Wilmington, DE",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,16-11-99,"Baltimore, MD",United States of America
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",01-Mar,416,Individual,Hamilton O. Smith,23-08-31,"New York, NY",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,,,
1978,Peace,The Nobel Peace Prize 1978,,01-Feb,538,Individual,Mohamed Anwar al-Sadat,25-12-18,Mit Abu al-Kawm,Egypt,Male,,,,06-10-81,Cairo,Egypt
1978,Peace,The Nobel Peace Prize 1978,,01-Feb,539,Individual,Menachem Begin,16-08-13,Brest Litovsk,Russian Empire (Belarus),Male,,,,09-03-92,Tel Aviv,Israel
1978,Physics,The Nobel Prize in Physics 1978,"""for his basic inventions and discoveries in the area of low-temperature physics""",01-Feb,110,Individual,Pyotr Leonidovich Kapitsa,1894-07-09,Kronshtadt,Russian Empire (Russia),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,08-04-84,Moscow,Union of Soviet Socialist Republics (Russia)
1978,Physics,The Nobel Prize in Physics 1978,"""for their discovery of cosmic microwave background radiation""",01-Apr,111,Individual,Arno Allan Penzias,26-04-33,Munich,Germany,Male,Bell Laboratories,"Holmdel, NJ",United States of America,,,
1978,Physics,The Nobel Prize in Physics 1978,"""for their discovery of cosmic microwave background radiation""",01-Apr,112,Individual,Robert Woodrow Wilson,10-01-36,"Houston, TX",United States of America,Male,Bell Laboratories,"Holmdel, NJ",United States of America,,,
1979,Chemistry,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",01-Feb,252,Individual,Herbert C. Brown,22-05-12,London,United Kingdom,Male,Purdue University,"West Lafayette, IN",United States of America,19-12-04,"Lafayette, IN",United States of America
1979,Chemistry,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",01-Feb,253,Individual,Georg Wittig,1897-06-16,Berlin,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,26-08-87,Heidelberg,West Germany (Germany)
1979,Economics,The Sveriges Riksbank Prize in Economic Sciences 1979,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",01-Feb,692,Individual,Theodore W. Schultz,30-04-02,"Arlington, SD",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,26-02-98,"Evanston, IL",United States of America
1979,Economics,The Sveriges Riksbank Prize in Economic Sciences 1979,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",01-Feb,693,Individual,Sir Arthur Lewis,23-01-15,Castries,British West Indies (Saint Lucia),Male,Princeton University,"Princeton, NJ",United States of America,15-06-91,Bridgetown,Barbados
1979,Literature,The Nobel Prize in Literature 1979,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",01-Jan,655,Individual,Odysseus Elytis,02-11-11,Iráklion,Crete (Greece),Male,,,,18-03-96,Athens,Greece
1979,Medicine,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography""",01-Feb,417,Individual,Allan M. Cormack,23-02-24,Johannesburg,South Africa,Male,Tufts University,"Medford, MA",United States of America,07-05-98,"Winchester, MA",United States of America
1979,Medicine,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography""",01-Feb,418,Individual,Godfrey N. Hounsfield,28-08-19,Newark,United Kingdom,Male,"Central Research Laboratories, EMI",London,United Kingdom,12-08-04,Kingston upon Thames,United Kingdom
1979,Peace,The Nobel Peace Prize 1979,,01-Jan,540,Organization,Mother Teresa,26-08-10,Uskup (Skopje),Ottoman Empire (Republic of Macedonia),Female,,,,05-09-97,Calcutta,India
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",01-Mar,113,Individual,Sheldon Lee Glashow,05-12-32,"New York, NY",United States of America,Male,"Harvard University, Lyman Laboratory","Cambridge, MA",United States of America,,,
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",01-Mar,114,Individual,Abdus Salam,29-01-26,Jhang Maghi&#257;na,India (Pakistan),Male,International Centre for Theoretical Physics,Trieste,Italy,21-11-96,Oxford,United Kingdom
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",01-Mar,114,Individual,Abdus Salam,29-01-26,Jhang Maghi&#257;na,India (Pakistan),Male,Imperial College,London,United Kingdom,21-11-96,Oxford,United Kingdom
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",01-Mar,115,Individual,Steven Weinberg,03-05-33,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids""",01-Apr,222,Individual,Frederick Sanger,13-08-18,Rendcombe,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,19-11-13,Cambridge,United Kingdom
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",01-Feb,254,Individual,Paul Berg,30-06-26,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,,,
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids""",01-Apr,255,Individual,Walter Gilbert,21-03-32,"Boston, MA",United States of America,Male,"Harvard University, Biological Laboratories","Cambridge, MA",United States of America,,,
1980,Economics,The Sveriges Riksbank Prize in Economic Sciences 1980,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",01-Jan,694,Individual,Lawrence R. Klein,14-09-20,"Omaha, NE",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America,20-10-13,"Gladwyne, PA",United States of America
1980,Literature,The Nobel Prize in Literature 1980,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",01-Jan,657,Individual,Czeslaw Milosz,30-06-11,&#346;eteniai,Russian Empire (Lithuania),Male,,,,14-08-04,Kraków,Poland
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",01-Mar,419,Individual,Baruj Benacerraf,29-10-20,Caracas,Venezuela,Male,Harvard Medical School,"Boston, MA",United States of America,02-08-11,"Boston, MA",United States of America
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",01-Mar,420,Individual,Jean Dausset,19-10-16,Toulouse,France,Male,"Université de Paris, Laboratoire Immuno-Hématologie",Paris,France,06-06-09,"Palma, Majorca",Spain
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",01-Mar,421,Individual,George D. Snell,19-12-03,"Bradford, MA",United States of America,Male,Jackson Laboratory,"Bar Harbor, ME",United States of America,06-06-96,"Bar Harbor, ME",United States of America
1980,Peace,The Nobel Peace Prize 1980,,01-Jan,541,Individual,Adolfo Pérez Esquivel,26-11-31,Buenos Aires,Argentina,Male,,,,,,
1980,Physics,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",01-Feb,116,Individual,James Watson Cronin,29-09-31,"Chicago, IL",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,25-08-16,"St. Paul, MN",United States of America
1980,Physics,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",01-Feb,117,Individual,Val Logsdon Fitch,10-03-23,"Merriman, NE",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,05-02-15,"Princeton, NJ",United States of America
1981,Chemistry,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",01-Feb,257,Individual,Kenichi Fukui,04-10-18,Nara,Japan,Male,Kyoto University,Kyoto,Japan,09-01-98,Kyoto,Japan
1981,Chemistry,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",01-Feb,258,Individual,Roald Hoffmann,18-07-37,Zloczov,Poland (Ukraine),Male,Cornell University,"Ithaca, NY",United States of America,,,
1981,Economics,The Sveriges Riksbank Prize in Economic Sciences 1981,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",01-Jan,695,Individual,James Tobin,05-03-18,"Champaign, IL",United States of America,Male,Yale University,"New Haven, CT",United States of America,11-03-02,"New Haven, CT",United States of America
1981,Literature,The Nobel Prize in Literature 1981,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",01-Jan,658,Individual,Elias Canetti,25-07-05,Ruse,Bulgaria,Male,,,,14-08-94,Zurich,Switzerland
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",01-Feb,422,Individual,Roger W. Sperry,20-08-13,"Hartford, CT",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,17-04-94,"Pasadena, CA",United States of America
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",01-Apr,423,Individual,David H. Hubel,27-02-26,"Windsor, ON",Canada,Male,Harvard Medical School,"Boston, MA",United States of America,22-09-13,"Lincoln, MA",United States of America
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",01-Apr,424,Individual,Torsten N. Wiesel,03-06-24,Uppsala,Sweden,Male,Harvard Medical School,"Boston, MA",United States of America,,,
1981,Peace,The Nobel Peace Prize 1981,,01-Jan,515,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,,,,,
1981,Physics,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy""",01-Apr,118,Individual,Nicolaas Bloembergen,11-03-20,Dordrecht,Netherlands,Male,Harvard University,"Cambridge, MA",United States of America,,,
1981,Physics,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy""",01-Apr,119,Individual,Arthur Leonard Schawlow,05-05-21,"Mount Verno, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,28-04-99,"Palo Alto, CA",United States of America
1981,Physics,The Nobel Prize in Physics 1981,"""for his contribution to the development of high-resolution electron spectroscopy""",01-Feb,120,Individual,Kai M. Siegbahn,20-04-18,Lund,Sweden,Male,Uppsala University,Uppsala,Sweden,20-07-07,Ängelholm,Sweden
1982,Chemistry,The Nobel Prize in Chemistry 1982,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",01-Jan,259,Individual,Aaron Klug,11-08-26,Zelvas,Lithuania,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,
1982,Economics,The Sveriges Riksbank Prize in Economic Sciences 1982,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation""",01-Jan,696,Individual,George J. Stigler,17-01-11,"Renton, WA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,01-12-91,"Chicago, IL",United States of America
1982,Literature,The Nobel Prize in Literature 1982,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",01-Jan,659,Individual,Gabriel García Márquez,06-03-27,Aracataca,Colombia,Male,,,,17-04-14,Mexico City,Mexico
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",01-Mar,425,Individual,Sune K. Bergström,10-01-16,Stockholm,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,15-08-04,Stockholm,Sweden
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",01-Mar,426,Individual,Bengt I. Samuelsson,21-05-34,Halmstad,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,,,
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",01-Mar,427,Individual,John R. Vane,29-03-27,Tardebigg,United Kingdom,Male,The Wellcome Research Laboratories,Beckenham,United Kingdom,19-11-04,Farnborough,United Kingdom
1982,Peace,The Nobel Peace Prize 1982,,01-Feb,543,Individual,Alva Myrdal,31-01-02,Uppsala,Sweden,Female,,,,01-02-86,Stockholm,Sweden
1982,Peace,The Nobel Peace Prize 1982,,01-Feb,544,Individual,Alfonso García Robles,20-03-11,Zamora,Mexico,Male,,,,02-09-91,Mexico City,Mexico
1982,Physics,The Nobel Prize in Physics 1982,"""for his theory for critical phenomena in connection with phase transitions""",01-Jan,121,Individual,Kenneth G. Wilson,08-06-36,"Waltham, MA",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,15-06-13,"Saco, ME",United States of America
1983,Chemistry,The Nobel Prize in Chemistry 1983,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",01-Jan,260,Individual,Henry Taube,30-11-15,Neudorf,Canada,Male,Stanford University,"Stanford, CA",United States of America,16-11-05,"Stanford, CA",United States of America
1983,Economics,The Sveriges Riksbank Prize in Economic Sciences 1983,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",01-Jan,697,Individual,Gerard Debreu,04-07-21,Calais,France,Male,University of California,"Berkeley, CA",United States of America,31-12-04,Paris,France
1983,Literature,The Nobel Prize in Literature 1983,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",01-Jan,660,Individual,William Golding,19-09-11,St. Columb Minor,United Kingdom,Male,,,,19-06-93,Perranarworthal,United Kingdom
1983,Medicine,The Nobel Prize in Physiology or Medicine 1983,"""for her discovery of mobile genetic elements""",01-Jan,428,Individual,Barbara McClintock,16-06-02,"Hartford, CT",United States of America,Female,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",United States of America,02-09-92,"Huntington, NY",United States of America
1983,Peace,The Nobel Peace Prize 1983,,01-Jan,545,Individual,Lech Walesa,29-09-43,Popowo,Poland,Male,,,,,,
1983,Physics,The Nobel Prize in Physics 1983,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",01-Feb,122,Individual,Subramanyan Chandrasekhar,19-10-10,Lahore,India (Pakistan),Male,University of Chicago,"Chicago, IL",United States of America,21-08-95,"Chicago, IL",United States of America
1983,Physics,The Nobel Prize in Physics 1983,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",01-Feb,123,Individual,William Alfred Fowler,09-08-11,"Pittsburgh, PA",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,14-03-95,"Pasadena, CA",United States of America
1984,Chemistry,The Nobel Prize in Chemistry 1984,"""for his development of methodology for chemical synthesis on a solid matrix""",01-Jan,261,Individual,Robert Bruce Merrifield,15-07-21,"Fort Worth, TX",United States of America,Male,Rockefeller University,"New York, NY",United States of America,14-05-06,"Cresskill, NJ",United States of America
1984,Economics,The Sveriges Riksbank Prize in Economic Sciences 1984,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",01-Jan,698,Individual,Richard Stone,30-08-13,London,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,06-12-91,Cambridge,United Kingdom
1984,Literature,The Nobel Prize in Literature 1984,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",01-Jan,661,Individual,Jaroslav Seifert,23-09-01,Prague,Austria-Hungary (Czech Republic),Male,,,,10-01-86,Prague,Czechoslovakia
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",01-Mar,429,Individual,Niels K. Jerne,23-12-11,London,United Kingdom,Male,Basel Institute for Immunology,Basel,Switzerland,07-10-94,Castillon-du-Gard,France
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",01-Mar,430,Individual,Georges J.F. Köhler,17-04-46,Munich,Germany,Male,Basel Institute for Immunology,Basel,Switzerland,01-03-95,Freiburg im Breisgau,Germany
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",01-Mar,431,Individual,César Milstein,08-10-27,Bahia Blanca,Argentina,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,24-03-02,Cambridge,United Kingdom
1984,Peace,The Nobel Peace Prize 1984,,01-Jan,546,Individual,Desmond Mpilo Tutu,07-10-31,Klerksdorp,South Africa,Male,,,,,,
1984,Physics,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",01-Feb,124,Individual,Carlo Rubbia,31-03-34,Gorizia,Italy,Male,CERN,Geneva,Switzerland,,Geneva,Switzerland
1984,Physics,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",01-Feb,125,Individual,Simon van der Meer,24-11-25,the Hague,Netherlands,Male,CERN,Geneva,Switzerland,04-03-11,Geneva,Switzerland
1985,Chemistry,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",01-Feb,262,Individual,Herbert A. Hauptman,14-02-17,"New York, NY",United States of America,Male,The Medical Foundation of Buffalo,"Buffalo, NY",United States of America,23-10-11,"Buffalo, NY",United States of America
1985,Chemistry,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",01-Feb,263,Individual,Jerome Karle,18-06-18,"New York, NY",United States of America,Male,US Naval Research Laboratory,"Washington, DC",United States of America,06-06-13,,
1985,Economics,The Sveriges Riksbank Prize in Economic Sciences 1985,"""for his pioneering analyses of saving and of financial markets""",01-Jan,699,Individual,Franco Modigliani,18-06-18,Rome,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,25-09-03,"Cambridge, MA",United States of America
1985,Literature,The Nobel Prize in Literature 1985,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",01-Jan,662,Individual,Claude Simon,10-10-13,Tananarive (Antananarivo),Madagascar,Male,,,,06-07-05,Paris,France
1985,Medicine,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",01-Feb,432,Individual,Michael S. Brown,13-04-41,"New York, NY",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,,,
1985,Medicine,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",01-Feb,433,Individual,Joseph L. Goldstein,18-04-40,"Sumter, SC",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,,,
1985,Peace,The Nobel Peace Prize 1985,,01-Jan,547,Organization,International Physicians for the Prevention of Nuclear War,,,,,,,,,,
1985,Physics,The Nobel Prize in Physics 1985,"""for the discovery of the quantized Hall effect""",01-Jan,126,Individual,Klaus von Klitzing,28-06-43,Schroda,German-occupied Poland (Poland),Male,Max-Planck-Institut für Festkörperforschung,Stuttgart,Federal Republic of Germany,,,
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",01-Mar,264,Individual,Dudley R. Herschbach,18-06-32,"San José, CA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",01-Mar,265,Individual,Yuan T. Lee,19-11-36,Hsinchu,Taiwan,Male,University of California,"Berkeley, CA",United States of America,,,
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",01-Mar,266,Individual,John C. Polanyi,23-01-29,Berlin,Germany,Male,University of Toronto,Toronto,Canada,,,
1986,Economics,The Sveriges Riksbank Prize in Economic Sciences 1986,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",01-Jan,700,Individual,James M. Buchanan Jr.,03-10-19,"Murfreesboro, TN",United States of America,Male,Center for Study of Public Choice,"Fairfax, VA",United States of America,09-01-13,"Blacksburg, VA",United States of America
1986,Literature,The Nobel Prize in Literature 1986,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",01-Jan,663,Individual,Wole Soyinka,13-07-34,Abeokuta,Nigeria,Male,,,,,,
1986,Medicine,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors""",01-Feb,434,Individual,Stanley Cohen,17-11-22,"Brooklyn, NY",United States of America,Male,Vanderbilt University School of Medicine,"Nashville, TN",United States of America,,,
1986,Medicine,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors""",01-Feb,435,Individual,Rita Levi-Montalcini,22-04-09,Turin,Italy,Female,Institute of Cell Biology of the C.N.R.,Rome,Italy,30-12-12,Rome,Italy
1986,Peace,The Nobel Peace Prize 1986,,01-Jan,548,Individual,Elie Wiesel,30-09-28,Sighet,Romania,Male,,,,02-07-16,"New York, NY",United States of America
1986,Physics,The Nobel Prize in Physics 1986,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",01-Feb,127,Individual,Ernst Ruska,25-12-06,Heidelberg,Germany,Male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Federal Republic of Germany,27-05-88,West Berlin,Germany
1986,Physics,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope""",01-Apr,128,Individual,Gerd Binnig,20-07-47,Frankfurt-on-the-Main,West Germany (Germany),Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,,,
